"daysort","cpp","sn","id","si","date","hpc","year","month","day"
169,3.938336,"Sentinel-2B","20211016T025709_20211016T025758_T50SNJ",0.004177,2021-10-16 03:07:00,0.371689,"2021","10","16 03:07:00"
170,4.989836,"Sentinel-2B","20211016T025709_20211016T025758_T50SNH",0.000123,2021-10-16 03:07:15,0.1478,"2021","10","16 03:07:15"
171,0.694511,"Sentinel-2A","20211021T025751_20211021T025745_T50SNJ",0.00286,2021-10-21 03:07:04,0.267478,"2021","10","21 03:07:04"
172,1.114107,"Sentinel-2A","20211021T025751_20211021T025745_T50SNH",0.000504,2021-10-21 03:07:19,0.097495,"2021","10","21 03:07:19"
173,13.841565,"Sentinel-2A","20211110T025941_20211110T025937_T50SNJ",31.47428,2021-11-10 03:07:01,2.976901,"2021","11","10 03:07:01"
174,4.50534,"Sentinel-2A","20211110T025941_20211110T025937_T50SNH",21.797365,2021-11-10 03:07:16,0.704643,"2021","11","10 03:07:16"
175,0.700164,"Sentinel-2B","20211125T030029_20211125T030026_T50SNJ",0.001742,2021-11-25 03:06:54,0.201718,"2021","11","25 03:06:54"
176,0.760684,"Sentinel-2B","20211125T030029_20211125T030026_T50SNH",0.000385,2021-11-25 03:07:09,0.080262,"2021","11","25 03:07:09"
177,2.859266,"Sentinel-2A","20211130T030101_20211130T030056_T50SNJ",0.005922,2021-11-30 03:06:58,0.213321,"2021","11","30 03:06:58"
178,1.529216,"Sentinel-2A","20211130T030101_20211130T030056_T50SNH",0.001032,2021-11-30 03:07:13,0.074432,"2021","11","30 03:07:13"
179,1.317544,"Sentinel-2B","20211205T030109_20211205T030106_T50SNH",0.000226,2021-12-05 03:07:08,0.078095,"2021","12","05 03:07:08"
180,0.900113,"Sentinel-2A","20211220T030131_20211220T030131_T50SNJ",0.141055,2021-12-20 03:06:59,0.136834,"2021","12","20 03:06:59"
181,1.198758,"Sentinel-2A","20211220T030131_20211220T030131_T50SNH",0.060939,2021-12-20 03:07:14,0.090985,"2021","12","20 03:07:14"
182,3.913816,"Sentinel-2A","20211230T030131_20211230T030128_T50SNJ",0.374296,2021-12-30 03:07:00,0.184011,"2021","12","30 03:07:00"
183,4.41395,"Sentinel-2A","20211230T030131_20211230T030128_T50SNH",0.424849,2021-12-30 03:07:15,0.117276,"2021","12","30 03:07:15"
